famille,fichier,chemin_relatif,exercice,format,taille_ko,metrique_type,metrique_valeur
AS485,AS-485-2012-13-FORMULAIRE.pdf,Archives/AS485/2012-2013/AS-485-2012-13-FORMULAIRE.pdf,2012-2013,pdf,1940.2,,
AS485,AS-485-2013-14-BD.csv,Archives/AS485/2013-2014/AS-485-2013-14-BD.csv,2013-2014,csv,5112.5,lignes,25261
AS485,AS-485-2013-14-EXPLICATIONS.pdf,Archives/AS485/2013-2014/AS-485-2013-14-EXPLICATIONS.pdf,2013-2014,pdf,149.2,,
AS485,AS-485-2013-14-FORMULAIRE.pdf,Archives/AS485/2013-2014/AS-485-2013-14-FORMULAIRE.pdf,2013-2014,pdf,1136.4,,
AS485,AS-485-2014-15-BD.csv,Archives/AS485/2014-2015/AS-485-2014-15-BD.csv,2014-2015,csv,5341.3,lignes,26605
AS485,AS-485-2014-15-EXPLICATIONS.pdf,Archives/AS485/2014-2015/AS-485-2014-15-EXPLICATIONS.pdf,2014-2015,pdf,273.5,,
AS485,AS-485-2014-15-FORMULAIRE.pdf,Archives/AS485/2014-2015/AS-485-2014-15-FORMULAIRE.pdf,2014-2015,pdf,325.5,,
AS485,AS-485-2014-2015-11042579-CENTRE-DE-READAPTATION-LA-MYRIADE.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11042579-CENTRE-DE-READAPTATION-LA-MYRIADE.pdf,2014-2015,pdf,410.2,,
AS485,AS-485-2014-2015-11042819-CENTRE-DE-PROTECTION-ET-DE-READAPTATION-DE-LA-COTE-NORD.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11042819-CENTRE-DE-PROTECTION-ET-DE-READAPTATION-DE-LA-COTE-NORD.pdf,2014-2015,pdf,407.6,,
AS485,AS-485-2014-2015-11042983-CRDITED-DE-LA-MONTEREGIE-EST.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11042983-CRDITED-DE-LA-MONTEREGIE-EST.pdf,2014-2015,pdf,418.5,,
AS485,AS-485-2014-2015-11043205-LES-SERVICES-DE-READAPTATION-DU-SUD-OUEST-ET-DU-RENFORT.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11043205-LES-SERVICES-DE-READAPTATION-DU-SUD-OUEST-ET-DU-RENFORT.pdf,2014-2015,pdf,413.1,,
AS485,AS-485-2014-2015-11043585-CRDITED-DU-SAGUENAY-LAC-SAINT-JEAN.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11043585-CRDITED-DU-SAGUENAY-LAC-SAINT-JEAN.pdf,2014-2015,pdf,414.0,,
AS485,AS-485-2014-2015-11043742-CRDITED-DE-CHAUDIERE-APPALACHES.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11043742-CRDITED-DE-CHAUDIERE-APPALACHES.pdf,2014-2015,pdf,412.0,,
AS485,AS-485-2014-2015-11043908-CR-EN-DEFICIENCE-INTELLECTUELLE-DE-QUEBEC.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11043908-CR-EN-DEFICIENCE-INTELLECTUELLE-DE-QUEBEC.pdf,2014-2015,pdf,414.8,,
AS485,AS-485-2014-2015-11044054-CRDITED-DU-BAS-SAINT-LAURENT.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11044054-CRDITED-DU-BAS-SAINT-LAURENT.pdf,2014-2015,pdf,412.7,,
AS485,AS-485-2014-2015-11044088-CSSS-DES-ILES.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11044088-CSSS-DES-ILES.pdf,2014-2015,pdf,410.2,,
AS485,AS-485-2014-2015-11044336-CSSS-DE-CHARLEVOIX.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11044336-CSSS-DE-CHARLEVOIX.pdf,2014-2015,pdf,410.1,,
AS485,AS-485-2014-2015-11044922-CRDITED-DE-MONTREAL.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-11044922-CRDITED-DE-MONTREAL.pdf,2014-2015,pdf,417.3,,
AS485,AS-485-2014-2015-12114922-ATELIER-LE-FIL-D-ARIANE.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-12114922-ATELIER-LE-FIL-D-ARIANE.pdf,2014-2015,pdf,404.8,,
AS485,AS-485-2014-2015-12469490-CLAIR-FOYER.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-12469490-CLAIR-FOYER.pdf,2014-2015,pdf,410.6,,
AS485,AS-485-2014-2015-12526240-CRDITED-DE-LA-MAURICIE-ET-DU-CENTRE-DU-QUEBEC-IU.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-12526240-CRDITED-DE-LA-MAURICIE-ET-DU-CENTRE-DU-QUEBEC-IU.pdf,2014-2015,pdf,417.1,,
AS485,AS-485-2014-2015-12536637-CRDITED-DE-L-ESTRIE.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-12536637-CRDITED-DE-L-ESTRIE.pdf,2014-2015,pdf,410.5,,
AS485,AS-485-2014-2015-12549952-CENTRE-READAPTATION-ESTRIE.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-12549952-CENTRE-READAPTATION-ESTRIE.pdf,2014-2015,pdf,407.8,,
AS485,AS-485-2014-2015-12582292-CENTRE-MIRIAM.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-12582292-CENTRE-MIRIAM.pdf,2014-2015,pdf,410.9,,
AS485,AS-485-2014-2015-12777694-CENTRE-DE-READAPTATION-LA-MAISON.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-12777694-CENTRE-DE-READAPTATION-LA-MAISON.pdf,2014-2015,pdf,407.9,,
AS485,AS-485-2014-2015-12788907-PAVILLON-DU-PARC.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-12788907-PAVILLON-DU-PARC.pdf,2014-2015,pdf,410.4,,
AS485,AS-485-2014-2015-12979662-PAVILLON-STE-MARIE.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-12979662-PAVILLON-STE-MARIE.pdf,2014-2015,pdf,407.3,,
AS485,AS-485-2014-2015-13080791-CENTRE-DE-READAPTATION-DE-L-OUEST-DE-MONTREAL.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-13080791-CENTRE-DE-READAPTATION-DE-L-OUEST-DE-MONTREAL.pdf,2014-2015,pdf,413.1,,
AS485,AS-485-2014-2015-21491667-CRDITED-DE-LAVAL.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-21491667-CRDITED-DE-LAVAL.pdf,2014-2015,pdf,410.4,,
AS485,AS-485-2014-2015-21491725-CENTRE-DU-FLORES.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-21491725-CENTRE-DU-FLORES.pdf,2014-2015,pdf,412.5,,
AS485,AS-485-2014-2015-29732203-LE-CENTRE-DE-READAPTATION-DE-LA-GASPESIE.pdf,Archives/AS485/2014-2015/AS-485-2014-2015-29732203-LE-CENTRE-DE-READAPTATION-DE-LA-GASPESIE.pdf,2014-2015,pdf,409.5,,
AS485,AS485_BD_2015_2016.zip,Archives/AS485/2015-2016/AS485_BD_2015_2016.zip,2015-2016,zip,284.6,membres,1
AS485,AS485_BD_2016_2017.zip,Archives/AS485/2016-2017/AS485_BD_2016_2017.zip,2016-2017,zip,271.2,membres,1
AS485,AS485_BD_2017_2018.zip,Archives/AS485/2017-2018/AS485_BD_2017_2018.zip,2017-2018,zip,264.2,membres,1
AS485,AS485_BD_2018_2019.csv,Archives/AS485/2018-2019/AS485_BD_2018_2019.csv,2018-2019,csv,4270.9,lignes,24777
